diseaseId,geneId,geneSymbol,DSI,DPI,diseaseName,diseaseType,diseaseClass,diseaseSemanticType,score,EI,Gene_Description,PsychiatricDisorder,diseaseClassNameMSH,doClassId,doClassName,umlsSemanticTypeId,umlsSemanticTypeName,HGNC.ID,Approved.name,Ensembl.gene.ID
C0041696,1020,CDK5,0.542,0.69,DEPRESSIVE DISORDER,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.01,1,"ATP-BINDING CASSETTE, SUB-FAMILY B (MDR/TAP), MEMBER 1",DEPRESSIVE DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:40,ATP BINDING CASSETTE SUBFAMILY B MEMBER 1,ENSG00000085563
C1269683,1020,CDK5,0.542,0.69,DEPRESSIVE DISORDER,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.01,1,"ATP-BINDING CASSETTE, SUB-FAMILY B (MDR/TAP), MEMBER 1",DEPRESSIVE DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:40,ATP BINDING CASSETTE SUBFAMILY B MEMBER 1,ENSG00000085563
C0036341,1020,CDK5,0.542,0.69,SCHIZOPHRENIA,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.31,1,"ATP-BINDING CASSETTE, SUB-FAMILY A (ABC1), MEMBER 1",SCHIZOPHRENIA SPECTRUM AND OTHER PSYCHOTIC DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:29,ATP BINDING CASSETTE SUBFAMILY A MEMBER 1,ENSG00000165029
C0036341,1028,CDKN1C,0.479,0.724,SCHIZOPHRENIA,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.31,1,"ATP-BINDING CASSETTE, SUB-FAMILY A (ABC1), MEMBER 1",SCHIZOPHRENIA SPECTRUM AND OTHER PSYCHOTIC DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:29,ATP BINDING CASSETTE SUBFAMILY A MEMBER 1,ENSG00000165029
C0011570,1029,CDKN2A,0.321,0.828,DEPRESSIVE DISORDER,DISEASE,F01,MENTAL OR BEHAVIORAL DYSFUNCTION,0.31,1,ALPHA-2-MACROGLOBULIN,DEPRESSIVE DISORDERS,BEHAVIOR AND BEHAVIOR MECHANISMS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:7,ALPHA-2-MACROGLOBULIN,ENSG00000175899
C0011581,1029,CDKN2A,0.321,0.828,DEPRESSIVE DISORDER,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.31,1,ALPHA-2-MACROGLOBULIN,DEPRESSIVE DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:7,ALPHA-2-MACROGLOBULIN,ENSG00000175899
C1269683,1029,CDKN2A,0.321,0.828,DEPRESSIVE DISORDER,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.31,1,"ATP-BINDING CASSETTE, SUB-FAMILY B (MDR/TAP), MEMBER 1",DEPRESSIVE DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:40,ATP BINDING CASSETTE SUBFAMILY B MEMBER 1,ENSG00000085563
C0338831,1040,CDS1,0.701,0.414,DEPRESSIVE DISORDER,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.01,1,"ATP-BINDING CASSETTE, SUB-FAMILY B (MDR/TAP), MEMBER 1",BIPOLAR DISORDERS AND RELATED DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:40,ATP BINDING CASSETTE SUBFAMILY B MEMBER 1,ENSG00000085563
C0005586,1041,CDSN,0.611,0.621,DEPRESSIVE DISORDER,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.01,1,"ATP-BINDING CASSETTE, SUB-FAMILY A (ABC1), MEMBER 13",BIPOLAR DISORDERS AND RELATED DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:14638,ATP BINDING CASSETTE SUBFAMILY A MEMBER 13,ENSG00000179869
C0525045,1041,CDSN,0.611,0.621,MOOD DISORDERS,GROUP,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.01,1,"ATP-BINDING CASSETTE, SUB-FAMILY G (WHITE), MEMBER 1",DEPRESSIVE DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:73,ATP BINDING CASSETTE SUBFAMILY G MEMBER 1,ENSG00000160179
C0033975,1055,CECR,0.773,0.345,PSYCHOTIC DISORDERS,GROUP,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.01,1,"ATP-BINDING CASSETTE, SUB-FAMILY B (MDR/TAP), MEMBER 1",SCHIZOPHRENIA SPECTRUM AND OTHER PSYCHOTIC DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:40,ATP BINDING CASSETTE SUBFAMILY B MEMBER 1,ENSG00000085563
C0011581,1055,CECR,0.773,0.345,DEPRESSIVE DISORDER,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.1,0.9,ALPHA-2-MACROGLOBULIN,DEPRESSIVE DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:7,ALPHA-2-MACROGLOBULIN,ENSG00000175899
C0086132,1055,CECR,0.773,0.345,DEPRESSIVE DISORDER,PHENOTYPE,F01,SIGN OR SYMPTOM,0.1,0.928571429,"ATP-BINDING CASSETTE, SUB-FAMILY C (CFTR/MRP), MEMBER 9",DEPRESSIVE DISORDERS,BEHAVIOR AND BEHAVIOR MECHANISMS,DOID:150,DISEASE OF MENTAL HEALTH,T184,SIGN OR SYMPTOM,HGNC:60,ATP BINDING CASSETTE SUBFAMILY C MEMBER 9,ENSG00000069431
C0011570,1055,CECR,0.773,0.345,DEPRESSIVE DISORDER,DISEASE,F01,MENTAL OR BEHAVIORAL DYSFUNCTION,0.1,0.909090909,ALPHA-2-MACROGLOBULIN,DEPRESSIVE DISORDERS,BEHAVIOR AND BEHAVIOR MECHANISMS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:7,ALPHA-2-MACROGLOBULIN,ENSG00000175899
C0036341,1068,CETN1,0.596,0.621,SCHIZOPHRENIA,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.32,1,"ATP-BINDING CASSETTE, SUB-FAMILY A (ABC1), MEMBER 1",SCHIZOPHRENIA SPECTRUM AND OTHER PSYCHOTIC DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:29,ATP BINDING CASSETTE SUBFAMILY A MEMBER 1,ENSG00000165029
C0011570,1103,CHAT,0.559,0.655,DEPRESSIVE DISORDER,DISEASE,F01,MENTAL OR BEHAVIORAL DYSFUNCTION,0.32,0.5,ALPHA-2-MACROGLOBULIN,DEPRESSIVE DISORDERS,BEHAVIOR AND BEHAVIOR MECHANISMS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:7,ALPHA-2-MACROGLOBULIN,ENSG00000175899
C0036341,1103,CHAT,0.559,0.655,SCHIZOPHRENIA,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.33,1,"ATP-BINDING CASSETTE, SUB-FAMILY A (ABC1), MEMBER 1",SCHIZOPHRENIA SPECTRUM AND OTHER PSYCHOTIC DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:29,ATP BINDING CASSETTE SUBFAMILY A MEMBER 1,ENSG00000165029
C0011581,1103,CHAT,0.559,0.655,DEPRESSIVE DISORDER,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.32,0.5,ALPHA-2-MACROGLOBULIN,DEPRESSIVE DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:7,ALPHA-2-MACROGLOBULIN,ENSG00000175899
C0005586,1109,AKR1C4,0.659,0.586,DEPRESSIVE DISORDER,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.52,1,"ATP-BINDING CASSETTE, SUB-FAMILY A (ABC1), MEMBER 13",BIPOLAR DISORDERS AND RELATED DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:14638,ATP BINDING CASSETTE SUBFAMILY A MEMBER 13,ENSG00000179869
C0338831,1109,AKR1C4,0.659,0.586,DEPRESSIVE DISORDER,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.32,1,"ATP-BINDING CASSETTE, SUB-FAMILY B (MDR/TAP), MEMBER 1",BIPOLAR DISORDERS AND RELATED DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:40,ATP BINDING CASSETTE SUBFAMILY B MEMBER 1,ENSG00000085563
C0001973,1109,AKR1C4,0.659,0.586,ALCOHOLIC DISORDER,DISEASE,C25;F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.31,1,"ABO BLOOD GROUP (TRANSFERASE A, ALPHA 1-3-N-ACETYLGALACTOSAMINYLTRANSFERASE; TRANSFERASE B, ALPHA 1-3-GALACTOSYLTRANSFERASE)",ALCOHOL USE DISORDERS,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:79,"ABO, ALPHA 1-3-N-ACETYLGALACTOSAMINYLTRANSFERASE AND ALPHA 1-3-GALACTOSYLTRANSFERASE",ENSG00000175164
C1456784,1109,AKR1C4,0.659,0.586,PARANOIA,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.31,1,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, A",SCHIZOPHRENIA SPECTRUM AND OTHER PSYCHOTIC DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:4931,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, A",ENSG00000206503
C0036341,1113,CHGA,0.54,0.621,SCHIZOPHRENIA,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.32,1,"ATP-BINDING CASSETTE, SUB-FAMILY A (ABC1), MEMBER 1",SCHIZOPHRENIA SPECTRUM AND OTHER PSYCHOTIC DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:29,ATP BINDING CASSETTE SUBFAMILY A MEMBER 1,ENSG00000165029
C0036341,1114,CHGB,0.69,0.31,SCHIZOPHRENIA,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.34,1,"ATP-BINDING CASSETTE, SUB-FAMILY A (ABC1), MEMBER 1",SCHIZOPHRENIA SPECTRUM AND OTHER PSYCHOTIC DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:29,ATP BINDING CASSETTE SUBFAMILY A MEMBER 1,ENSG00000165029
C0036341,1116,CHI3L1,0.502,0.793,SCHIZOPHRENIA,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.38,0.875,"ATP-BINDING CASSETTE, SUB-FAMILY A (ABC1), MEMBER 1",SCHIZOPHRENIA SPECTRUM AND OTHER PSYCHOTIC DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:29,ATP BINDING CASSETTE SUBFAMILY A MEMBER 1,ENSG00000165029
C0001956,1121,CHM,0.663,0.379,ALCOHOLIC DISORDER,DISEASE,C25;F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.01,1,"ALCOHOL DEHYDROGENASE 4 (CLASS II), PI POLYPEPTIDE",ALCOHOL USE DISORDERS,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:252,"ALCOHOL DEHYDROGENASE 4 (CLASS II), PI POLYPEPTIDE",ENSG00000198099
C0001973,1121,CHM,0.663,0.379,ALCOHOLIC DISORDER,DISEASE,C25;F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.01,1,"ABO BLOOD GROUP (TRANSFERASE A, ALPHA 1-3-N-ACETYLGALACTOSAMINYLTRANSFERASE; TRANSFERASE B, ALPHA 1-3-GALACTOSYLTRANSFERASE)",ALCOHOL USE DISORDERS,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:79,"ABO, ALPHA 1-3-N-ACETYLGALACTOSAMINYLTRANSFERASE AND ALPHA 1-3-GALACTOSYLTRANSFERASE",ENSG00000175164
C0036341,1128,CHRM1,0.639,0.448,SCHIZOPHRENIA,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.38,0.5,"ATP-BINDING CASSETTE, SUB-FAMILY A (ABC1), MEMBER 1",SCHIZOPHRENIA SPECTRUM AND OTHER PSYCHOTIC DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:29,ATP BINDING CASSETTE SUBFAMILY A MEMBER 1,ENSG00000165029
C0041696,1129,CHRM2,0.596,0.586,DEPRESSIVE DISORDER,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.01,1,"ATP-BINDING CASSETTE, SUB-FAMILY B (MDR/TAP), MEMBER 1",DEPRESSIVE DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:40,ATP BINDING CASSETTE SUBFAMILY B MEMBER 1,ENSG00000085563
C0011581,1129,CHRM2,0.596,0.586,DEPRESSIVE DISORDER,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.34,1,ALPHA-2-MACROGLOBULIN,DEPRESSIVE DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:7,ALPHA-2-MACROGLOBULIN,ENSG00000175899
C0011570,1129,CHRM2,0.596,0.586,DEPRESSIVE DISORDER,DISEASE,F01,MENTAL OR BEHAVIORAL DYSFUNCTION,0.54,1,ALPHA-2-MACROGLOBULIN,DEPRESSIVE DISORDERS,BEHAVIOR AND BEHAVIOR MECHANISMS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:7,ALPHA-2-MACROGLOBULIN,ENSG00000175899
C0005586,1129,CHRM2,0.596,0.586,DEPRESSIVE DISORDER,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.31,1,"ATP-BINDING CASSETTE, SUB-FAMILY A (ABC1), MEMBER 13",BIPOLAR DISORDERS AND RELATED DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:14638,ATP BINDING CASSETTE SUBFAMILY A MEMBER 13,ENSG00000179869
C0001973,1129,CHRM2,0.596,0.586,ALCOHOLIC DISORDER,DISEASE,C25;F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.39,1,"ABO BLOOD GROUP (TRANSFERASE A, ALPHA 1-3-N-ACETYLGALACTOSAMINYLTRANSFERASE; TRANSFERASE B, ALPHA 1-3-GALACTOSYLTRANSFERASE)",ALCOHOL USE DISORDERS,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:79,"ABO, ALPHA 1-3-N-ACETYLGALACTOSAMINYLTRANSFERASE AND ALPHA 1-3-GALACTOSYLTRANSFERASE",ENSG00000175164
C0036341,1129,CHRM2,0.596,0.586,SCHIZOPHRENIA,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.31,1,"ATP-BINDING CASSETTE, SUB-FAMILY A (ABC1), MEMBER 1",SCHIZOPHRENIA SPECTRUM AND OTHER PSYCHOTIC DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:29,ATP BINDING CASSETTE SUBFAMILY A MEMBER 1,ENSG00000165029
C0525045,1129,CHRM2,0.596,0.586,MOOD DISORDERS,GROUP,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.31,1,"ATP-BINDING CASSETTE, SUB-FAMILY G (WHITE), MEMBER 1",DEPRESSIVE DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:73,ATP BINDING CASSETTE SUBFAMILY G MEMBER 1,ENSG00000160179
C1269683,1129,CHRM2,0.596,0.586,DEPRESSIVE DISORDER,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.03,1,"ATP-BINDING CASSETTE, SUB-FAMILY B (MDR/TAP), MEMBER 1",DEPRESSIVE DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:40,ATP BINDING CASSETTE SUBFAMILY B MEMBER 1,ENSG00000085563
C0086133,1129,CHRM2,0.596,0.586,DEPRESSIVE DISORDER,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.02,1,CATECHOL-O-METHYLTRANSFERASE,DEPRESSIVE DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:2228,CATECHOL-O-METHYLTRANSFERASE,ENSG00000093010
C0036341,1131,CHRM3,0.546,0.724,SCHIZOPHRENIA,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.01,1,"ATP-BINDING CASSETTE, SUB-FAMILY A (ABC1), MEMBER 1",SCHIZOPHRENIA SPECTRUM AND OTHER PSYCHOTIC DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:29,ATP BINDING CASSETTE SUBFAMILY A MEMBER 1,ENSG00000165029
C0036341,1132,CHRM4,0.799,0.172,SCHIZOPHRENIA,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.33,1,"ATP-BINDING CASSETTE, SUB-FAMILY A (ABC1), MEMBER 1",SCHIZOPHRENIA SPECTRUM AND OTHER PSYCHOTIC DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:29,ATP BINDING CASSETTE SUBFAMILY A MEMBER 1,ENSG00000165029
C0024809,1133,CHRM5,0.815,0.138,MARIJUANA ABUSE,DISEASE,C25;F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.31,1,ANKYRIN REPEAT AND KINASE DOMAIN CONTAINING 1,CANNABIS USE DISORDERS,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:21027,ANKYRIN REPEAT AND KINASE DOMAIN CONTAINING 1,ENSG00000170209
C0036341,1133,CHRM5,0.815,0.138,SCHIZOPHRENIA,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.31,1,"ATP-BINDING CASSETTE, SUB-FAMILY A (ABC1), MEMBER 1",SCHIZOPHRENIA SPECTRUM AND OTHER PSYCHOTIC DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:29,ATP BINDING CASSETTE SUBFAMILY A MEMBER 1,ENSG00000165029
C0005586,1135,CHRNA2,0.727,0.31,DEPRESSIVE DISORDER,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.31,1,"ATP-BINDING CASSETTE, SUB-FAMILY A (ABC1), MEMBER 13",BIPOLAR DISORDERS AND RELATED DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:14638,ATP BINDING CASSETTE SUBFAMILY A MEMBER 13,ENSG00000179869
C0036341,1136,CHRNA3,0.584,0.448,SCHIZOPHRENIA,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.42,1,"ATP-BINDING CASSETTE, SUB-FAMILY A (ABC1), MEMBER 1",SCHIZOPHRENIA SPECTRUM AND OTHER PSYCHOTIC DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:29,ATP BINDING CASSETTE SUBFAMILY A MEMBER 1,ENSG00000165029
C0600427,1136,CHRNA3,0.584,0.448,COCAINE DEPENDENCE,DISEASE,C25;F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.31,1,ADRENOCEPTOR ALPHA 1A,COCAINE USE DISORDERS,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:277,ADRENOCEPTOR ALPHA 1A,ENSG00000120907
C0001973,1136,CHRNA3,0.584,0.448,ALCOHOLIC DISORDER,DISEASE,C25;F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.53,1,"ABO BLOOD GROUP (TRANSFERASE A, ALPHA 1-3-N-ACETYLGALACTOSAMINYLTRANSFERASE; TRANSFERASE B, ALPHA 1-3-GALACTOSYLTRANSFERASE)",ALCOHOL USE DISORDERS,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:79,"ABO, ALPHA 1-3-N-ACETYLGALACTOSAMINYLTRANSFERASE AND ALPHA 1-3-GALACTOSYLTRANSFERASE",ENSG00000175164
C0011581,1137,CHRNA4,0.521,0.586,DEPRESSIVE DISORDER,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.32,1,ALPHA-2-MACROGLOBULIN,DEPRESSIVE DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:7,ALPHA-2-MACROGLOBULIN,ENSG00000175899
C0041696,1137,CHRNA4,0.521,0.586,DEPRESSIVE DISORDER,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.01,1,"ATP-BINDING CASSETTE, SUB-FAMILY B (MDR/TAP), MEMBER 1",DEPRESSIVE DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:40,ATP BINDING CASSETTE SUBFAMILY B MEMBER 1,ENSG00000085563
C1269683,1137,CHRNA4,0.521,0.586,DEPRESSIVE DISORDER,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.01,1,"ATP-BINDING CASSETTE, SUB-FAMILY B (MDR/TAP), MEMBER 1",DEPRESSIVE DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:40,ATP BINDING CASSETTE SUBFAMILY B MEMBER 1,ENSG00000085563
C0001973,1137,CHRNA4,0.521,0.586,ALCOHOLIC DISORDER,DISEASE,C25;F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.32,1,"ABO BLOOD GROUP (TRANSFERASE A, ALPHA 1-3-N-ACETYLGALACTOSAMINYLTRANSFERASE; TRANSFERASE B, ALPHA 1-3-GALACTOSYLTRANSFERASE)",ALCOHOL USE DISORDERS,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:79,"ABO, ALPHA 1-3-N-ACETYLGALACTOSAMINYLTRANSFERASE AND ALPHA 1-3-GALACTOSYLTRANSFERASE",ENSG00000175164
C0011570,1137,CHRNA4,0.521,0.586,DEPRESSIVE DISORDER,DISEASE,F01,MENTAL OR BEHAVIORAL DYSFUNCTION,0.32,1,ALPHA-2-MACROGLOBULIN,DEPRESSIVE DISORDERS,BEHAVIOR AND BEHAVIOR MECHANISMS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:7,ALPHA-2-MACROGLOBULIN,ENSG00000175899
C0036341,1137,CHRNA4,0.521,0.586,SCHIZOPHRENIA,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.38,1,"ATP-BINDING CASSETTE, SUB-FAMILY A (ABC1), MEMBER 1",SCHIZOPHRENIA SPECTRUM AND OTHER PSYCHOTIC DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:29,ATP BINDING CASSETTE SUBFAMILY A MEMBER 1,ENSG00000165029
C0600427,1138,CHRNA5,0.598,0.414,COCAINE DEPENDENCE,DISEASE,C25;F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.33,1,ADRENOCEPTOR ALPHA 1A,COCAINE USE DISORDERS,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:277,ADRENOCEPTOR ALPHA 1A,ENSG00000120907
C1456784,1138,CHRNA5,0.598,0.414,PARANOIA,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.01,1,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, A",SCHIZOPHRENIA SPECTRUM AND OTHER PSYCHOTIC DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:4931,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, A",ENSG00000206503
